"V1","V2","V3","V4","V5"
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
0.166666666666667,0.25,0.75,0.5,0.5
